"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"AKZOINDIA","EQ","13-Jun-2025","3,228.90","3,229.90","3,283.90","3,190.00","3,238.00","3,238.30","3,235.23","19,523","6,31,61,360.90","3,833"
"AKZOINDIA","EQ","12-Jun-2025","3,225.00","3,225.00","3,249.90","3,210.00","3,232.10","3,228.90","3,231.73","9,287","3,00,13,073.80","3,150"
"AKZOINDIA","EQ","11-Jun-2025","3,226.90","3,255.00","3,255.00","3,203.60","3,210.20","3,225.00","3,220.44","6,842","2,20,34,265.20","1,984"
"AKZOINDIA","EQ","10-Jun-2025","3,263.70","3,280.00","3,289.00","3,205.50","3,224.70","3,226.90","3,238.37","11,314","3,66,38,883.10","2,931"
"AKZOINDIA","EQ","09-Jun-2025","3,239.70","3,267.90","3,284.70","3,211.00","3,269.00","3,263.70","3,260.65","9,582","3,12,43,577.00","2,856"
"AKZOINDIA","EQ","06-Jun-2025","3,295.20","3,295.40","3,324.00","3,235.60","3,243.00","3,239.70","3,257.56","13,933","4,53,87,565.40","3,007"
"AKZOINDIA","EQ","05-Jun-2025","3,308.20","3,337.00","3,342.30","3,286.00","3,290.00","3,295.20","3,303.56","9,510","3,14,16,839.40","2,770"
"AKZOINDIA","EQ","04-Jun-2025","3,334.20","3,360.00","3,377.90","3,298.10","3,316.30","3,308.20","3,325.05","11,207","3,72,63,824.10","2,953"
"AKZOINDIA","EQ","03-Jun-2025","3,309.80","3,340.00","3,409.40","3,311.20","3,320.00","3,334.20","3,364.83","11,686","3,93,21,361.20","3,645"
"AKZOINDIA","EQ","02-Jun-2025","3,345.80","3,316.10","3,375.00","3,294.20","3,324.40","3,309.80","3,306.68","7,792","2,57,65,657.20","2,304"
"AKZOINDIA","EQ","30-May-2025","3,349.70","3,379.00","3,379.00","3,325.00","3,350.00","3,345.80","3,345.38","9,184","3,07,23,927.90","2,278"
"AKZOINDIA","EQ","29-May-2025","3,374.00","3,384.70","3,388.60","3,342.00","3,352.00","3,349.70","3,361.09","6,109","2,05,32,874.20","1,661"
"AKZOINDIA","EQ","28-May-2025","3,423.30","3,453.00","3,465.20","3,358.00","3,375.00","3,374.00","3,388.48","10,883","3,68,76,876.80","2,366"
"AKZOINDIA","EQ","27-May-2025","3,467.90","3,432.00","3,469.20","3,400.20","3,425.00","3,423.30","3,421.55","12,001","4,10,61,976.40","2,560"
"AKZOINDIA","EQ","26-May-2025","3,596.00","3,582.50","3,626.90","3,444.00","3,474.50","3,467.90","3,500.48","29,885","10,46,11,772.20","5,778"
"AKZOINDIA","EQ","23-May-2025","3,605.80","3,615.30","3,619.40","3,575.90","3,582.50","3,596.00","3,596.78","5,788","2,08,18,189.20","1,013"
"AKZOINDIA","EQ","22-May-2025","3,601.50","3,600.00","3,625.00","3,587.20","3,615.30","3,605.80","3,608.26","7,994","2,88,44,394.10","1,616"
"AKZOINDIA","EQ","21-May-2025","3,598.20","3,598.20","3,619.90","3,530.90","3,600.00","3,601.50","3,593.60","24,153","8,67,96,290.90","3,348"
"AKZOINDIA","EQ","20-May-2025","3,614.80","3,663.80","3,663.80","3,580.00","3,599.00","3,598.20","3,599.79","30,287","10,90,26,728.40","4,207"
"AKZOINDIA","EQ","19-May-2025","3,598.40","3,680.00","3,745.00","3,601.00","3,601.00","3,614.80","3,649.71","47,466","17,32,36,993.30","6,177"
"AKZOINDIA","EQ","16-May-2025","3,477.10","3,645.00","3,650.00","3,511.00","3,608.30","3,598.40","3,573.15","35,613","12,72,50,502.90","7,620"
"AKZOINDIA","EQ","15-May-2025","3,513.60","3,554.00","3,554.00","3,425.40","3,467.90","3,477.10","3,466.95","14,816","5,13,66,367.20","3,091"
"AKZOINDIA","EQ","14-May-2025","3,485.20","3,515.50","3,595.80","3,495.00","3,500.00","3,513.60","3,529.50","10,049","3,54,67,901.50","2,494"
"AKZOINDIA","EQ","13-May-2025","3,502.00","3,502.00","3,540.80","3,449.30","3,485.00","3,485.20","3,498.22","7,221","2,52,60,648.20","2,416"
"AKZOINDIA","EQ","12-May-2025","3,429.60","3,460.00","3,550.90","3,444.50","3,510.00","3,502.00","3,499.85","8,691","3,04,17,189.70","2,476"
"AKZOINDIA","EQ","09-May-2025","3,440.00","3,354.00","3,464.70","3,353.90","3,435.90","3,429.60","3,420.24","5,346","1,82,84,597.60","2,579"
"AKZOINDIA","EQ","08-May-2025","3,475.80","3,475.80","3,534.80","3,428.00","3,433.30","3,440.00","3,494.45","9,975","3,48,57,126.90","4,193"
"AKZOINDIA","EQ","07-May-2025","3,497.60","3,410.20","3,490.10","3,401.30","3,485.00","3,475.80","3,457.78","7,450","2,57,60,485.80","2,431"
"AKZOINDIA","EQ","06-May-2025","3,513.30","3,520.00","3,562.50","3,450.00","3,495.00","3,497.60","3,491.96","16,982","5,93,00,441.10","6,581"
"AKZOINDIA","EQ","05-May-2025","3,450.00","3,467.00","3,549.80","3,417.20","3,520.00","3,513.30","3,514.47","17,118","6,01,60,682.30","6,380"
"AKZOINDIA","EQ","02-May-2025","3,454.30","3,434.00","3,487.00","3,379.50","3,411.00","3,450.00","3,436.33","13,208","4,53,87,027.70","4,254"
"AKZOINDIA","EQ","30-Apr-2025","3,545.70","3,575.60","3,575.60","3,420.00","3,420.00","3,454.30","3,485.42","13,646","4,75,61,980.50","5,839"
"AKZOINDIA","EQ","29-Apr-2025","3,565.20","3,520.00","3,610.00","3,504.70","3,532.60","3,545.70","3,541.42","12,447","4,40,80,062.60","6,197"
"AKZOINDIA","EQ","28-Apr-2025","3,568.20","3,514.70","3,624.90","3,491.80","3,550.00","3,565.20","3,562.09","20,240","7,20,96,701.50","7,407"
"AKZOINDIA","EQ","25-Apr-2025","3,506.50","3,537.00","3,598.90","3,452.50","3,563.40","3,568.20","3,546.27","21,598","7,65,92,403.80","6,472"
"AKZOINDIA","EQ","24-Apr-2025","3,414.40","3,519.00","3,539.70","3,463.00","3,511.00","3,506.50","3,502.23","23,074","8,08,10,433.60","7,034"
"AKZOINDIA","EQ","23-Apr-2025","3,480.30","3,480.30","3,480.30","3,399.50","3,419.00","3,414.40","3,423.78","9,868","3,37,85,866.50","2,882"
"AKZOINDIA","EQ","22-Apr-2025","3,484.90","3,484.90","3,513.00","3,451.50","3,484.90","3,480.30","3,485.35","8,945","3,11,76,479.20","3,408"
"AKZOINDIA","EQ","21-Apr-2025","3,494.50","3,509.90","3,528.50","3,471.00","3,490.00","3,484.90","3,490.32","18,452","6,44,03,463.80","4,243"
"AKZOINDIA","EQ","17-Apr-2025","3,515.30","3,515.00","3,544.10","3,471.40","3,505.00","3,494.50","3,496.25","9,834","3,43,82,114.90","4,088"
"AKZOINDIA","EQ","16-Apr-2025","3,482.20","3,490.00","3,547.50","3,457.00","3,500.00","3,515.30","3,488.64","7,671","2,67,61,364.10","2,924"
"AKZOINDIA","EQ","15-Apr-2025","3,510.45","3,526.00","3,555.90","3,400.00","3,482.00","3,482.20","3,493.46","14,473","5,05,60,834.20","5,056"
"AKZOINDIA","EQ","11-Apr-2025","3,337.65","3,390.95","3,527.00","3,350.50","3,493.05","3,510.45","3,435.96","30,580","10,50,71,537.15","10,904"
"AKZOINDIA","EQ","09-Apr-2025","3,482.20","3,492.20","3,512.80","3,328.40","3,328.85","3,337.65","3,379.84","12,663","4,27,98,901.95","5,011"
"AKZOINDIA","EQ","08-Apr-2025","3,403.10","3,433.60","3,494.00","3,403.10","3,494.00","3,482.20","3,470.28","13,674","4,74,52,569.40","3,095"
"AKZOINDIA","EQ","07-Apr-2025","3,503.70","3,410.00","3,433.65","3,220.00","3,433.60","3,403.10","3,376.13","14,603","4,93,01,636.30","4,346"
"AKZOINDIA","EQ","04-Apr-2025","3,553.90","3,555.00","3,555.00","3,368.85","3,535.00","3,503.70","3,454.90","14,131","4,88,21,236.60","3,826"
"AKZOINDIA","EQ","03-Apr-2025","3,488.55","3,498.55","3,605.00","3,480.05","3,531.00","3,553.90","3,560.17","10,004","3,56,15,962.80","2,893"
"AKZOINDIA","EQ","02-Apr-2025","3,530.60","3,530.60","3,551.75","3,460.40","3,507.50","3,488.55","3,504.01","20,781","7,28,16,758.75","2,094"
"AKZOINDIA","EQ","01-Apr-2025","3,598.00","3,595.00","3,615.00","3,518.00","3,520.00","3,530.60","3,568.45","3,900","1,39,16,971.85","1,558"
